force,stroke
1842.125,0.1396146
1845.113,0.1397813
1847.593,0.1399479
1850.057,0.1401146
1852.345,0.1402812
1854.849,0.1404479
1857.567,0.1406146
1859.641,0.1407813
1862.542,0.1409479
1864.839,0.1411146
1867.255,0.1412812
1869.742,0.1414479
1871.8,0.1416146
1873.835,0.1417813
1876.195,0.1419479
1879.223,0.1421146
1882.029,0.1422812
1884.166,0.1424479
1886.567,0.1426146
1888.951,0.1427812
1891.136,0.1429479
1893.584,0.1431146
1896.199,0.1432813
1898.321,0.1434479
1900.951,0.1436146
1903.558,0.1437812
1905.934,0.1439479
1908.326,0.144125
1910.806,0.1442917
1913.373,0.1444583
1915.685,0.144625
1918.197,0.1447917
1920.787,0.1449583
1922.997,0.145125
1925.635,0.1452917
1928.242,0.1454583
1930.873,0.145625
1932.955,0.1457917
1935.132,0.1459583
1937.564,0.146125
1940.362,0.1462917
1942.833,0.1464583
1945.297,0.146625
1947.641,0.1467917
1950.121,0.1469583
1952.402,0.147125
1954.73,0.1472917
1957.011,0.1474583
1959.618,0.1476146
1962.153,0.1477813
1964.521,0.1479479
1966.818,0.1481146
1969.496,0.1482812
1971.825,0.1484479
1974.305,0.1486146
1976.705,0.1487813
1979.256,0.1489479
1981.362,0.1491146
1983.428,0.1492812
1986.003,0.1494479
1988.435,0.1496146
1990.803,0.1497812
1993.179,0.1499479
1995.452,0.1501146
1997.9,0.1502813
2000.515,0.1504479
2002.994,0.1506146
2005.45,0.1507812
2008.231,0.1509479
2010.258,0.1511146
2012.483,0.1512813
2015.122,0.1514479
2017.307,0.1516146
2020.017,0.1517812
2022.608,0.1519479
2024.833,0.1521146
2026.892,0.1522813
2029.284,0.1524479
2031.835,0.1526146
2034.195,0.1527812
2036.802,0.1529479
2038.995,0.1531146
2040.942,0.1532812
2043.343,0.1534479
2045.925,0.1536146
2048.461,0.1537813
2050.845,0.1539479
2053.221,0.1541146
2055.717,0.1542812
2058.029,0.1544479
2060.23,0.1546146
2062.774,0.1547813
2065.5,0.1549479
2068.035,0.1551146
2070.268,0.1552812
2072.652,0.1554479
2075.243,0.1556146
2077.492,0.1557813
2079.924,0.1559479
2082.769,0.1561146
2084.684,0.1562812
2087.1,0.1564479
2089.556,0.1566146
2092.202,0.1567812
2094.388,0.1569479
2096.78,0.1571146
2099.657,0.1572812
2102.057,0.1574479
2104.068,0.1576146
2106.102,0.1577812
2108.216,0.1579479
2110.855,0.1581042
2113.7,0.1582813
2115.989,0.1584375
2118.095,0.1586042
2120.105,0.1587708
2122.943,0.1589375
2125.47,0.1591146
2127.6,0.1592708
2130.111,0.1594375
2132.773,0.1596042
2135.054,0.1597708
2137.256,0.1599479
2139.815,0.1601146
2142.278,0.1602812
2144.901,0.1604479
2146.594,0.1606146
2148.811,0.1607812
2151.458,0.1609479
2153.953,0.1611146
2156.575,0.1612812
2159.079,0.1614479
2161.749,0.1616146
2164.141,0.1617813
2166.335,0.1619479
2168.822,0.1621146
2171.389,0.1622812
2173.591,0.1624479
2175.999,0.1626146
2178.59,0.1627813
2180.759,0.1629479
2183.127,0.1631146
2185.583,0.1632812
2187.967,0.1634479
2190.574,0.1636146
2192.513,0.1637813
2194.826,0.1639479
2197.226,0.1641146
2199.824,0.1642812
2202.431,0.1644479
2204.601,0.1646146
2207.001,0.1647917
2209.504,0.1649583
2212.238,0.165125
2214.281,0.1652917
2216.864,0.1654583
2219.478,0.165625
2221.863,0.1657917
2224.008,0.1659583
2226.75,0.166125
2229.253,0.1662917
2231.431,0.1664583
2233.974,0.166625
2236.549,0.1667917
2238.472,0.1669583
2241.008,0.167125
2243.821,0.1672917
2246.03,0.1674583
2248.001,0.167625
2250.791,0.1677917
2253.588,0.1679583
2255.432,0.168125
2257.602,0.1682917
2260.192,0.1684583
2262.227,0.168625
2265.112,0.1687917
2267.845,0.1689479
2270.309,0.1691146
2272.042,0.1692812
2274.529,0.1694479
2276.913,0.1696146
2279.584,0.1697813
2281.785,0.1699479
2283.915,0.1701146
2286.553,0.1702812
2288.969,0.1704479
2291.29,0.1706146
2293.937,0.1707813
2296.13,0.1709479
2298.657,0.1711146
2300.875,0.1712812
2303.147,0.1714479
2306.144,0.1716146
2308.464,0.1717812
2310.642,0.1719479
2313.328,0.1721146
2315.839,0.1722813
2317.929,0.1724479
2320.226,0.1726146
2322.69,0.1727812
2325.201,0.1729479
2327.45,0.1731146
2329.485,0.1732813
2332.338,0.1734479
2334.65,0.1736146
2336.605,0.1737812
2339.125,0.1739479
2341.604,0.1741146
2344.147,0.1742813
2346.357,0.1744479
2348.137,0.1746146
2350.664,0.1747812
2353.398,0.1749479
2355.83,0.1751146
2358.325,0.1752812
2360.423,0.1754479
2362.418,0.1756146
2364.977,0.1757813
2367.282,0.1759479
2369.881,0.1761146
2372.019,0.1762812
2374.57,0.1764479
2377.105,0.1766146
2379.29,0.1767813
2381.396,0.1769479
2384.162,0.1771146
2386.594,0.1772812
2389.089,0.1774479
2391.331,0.1776146
2393.349,0.1777813
2395.662,0.1779479
2398.038,0.1781146
2400.501,0.1782812
2402.838,0.1784479
2405.62,0.1786146
2408.035,0.1787812
2409.84,0.1789479
2412.375,0.1791146
2414.616,0.1792708
2417.024,0.1794375
2419.639,0.1796042
2421.792,0.1797708
2423.628,0.1799375
2425.997,0.1801042
2428.572,0.1802708
2431.162,0.1804375
2433.769,0.1806042
2436.018,0.1807708
2438.665,0.1809375
2440.906,0.1811146
2442.654,0.1812813
2445.221,0.1814479
2447.621,0.1816146
2450.18,0.1817812
2452.223,0.1819479
2454.344,0.1821146
2456.681,0.1822812
2459.478,0.1824479
2462.57,0.1826146
2464.93,0.1827812
2467.227,0.1829479
2469.667,0.1831146
2471.924,0.1832812
2473.911,0.1834479
2476.39,0.1836146
2478.926,0.1837813
2481.167,0.1839479
2483.241,0.1841146
2485.967,0.1842812
2488.287,0.1844479
2490.775,0.1846146
2493.254,0.1847813
2495.368,0.1849479
2497.514,0.1851146
2500.431,0.1852917
2502.847,0.1854583
2504.897,0.185625
2507.075,0.1857917
2509.562,0.1859583
2512.693,0.186125
2514.903,0.1862917
2517.025,0.1864583
2519.647,0.186625
2522.031,0.1867917
2524.36,0.1869583
2526.951,0.187125
2529.073,0.1872917
2531.242,0.1874583
2533.42,0.187625
2535.82,0.1877917
2538.013,0.1879583
2540.414,0.188125
2543.139,0.1882917
2545.261,0.1884583
2547.939,0.188625
2550.507,0.1887917
2552.827,0.1889583
2555.037,0.189125
2557.389,0.1892917
2559.431,0.1894583
2562.022,0.189625
2564.526,0.1897812
2566.369,0.1899479
2569.175,0.1901146
2571.535,0.1902812
2573.959,0.1904479
2576.216,0.1906146
2578.831,0.1907813
2581.533,0.1909479
2584.163,0.1911146
2586.619,0.1912812
2588.399,0.1914479
2590.593,0.1916146
2593.621,0.1917813
2595.854,0.1919479
2598.238,0.192125
2600.837,0.1922917
2603.157,0.1924583
2605.478,0.192625
2607.902,0.1927917
2609.889,0.1929479
2612.352,0.1931146
2615.142,0.1932812
2617.542,0.1934479
2620.133,0.1936146
2622.652,0.1937812
2624.71,0.1939479
2627.27,0.1941146
2629.916,0.1942813
2631.879,0.1944479
2634.43,0.1946146
2636.886,0.1947812
2639,0.1949479
2641.289,0.1951146
2643.609,0.1952813
2646.065,0.1954479
2648.552,0.1956146
2650.785,0.1957812
2653.336,0.1959479
2655.872,0.1961146
2658.145,0.1962813
2660.537,0.1964479
2663.231,0.1966146
2665.71,0.1967812
2667.896,0.1969479
2670.59,0.1971146
2672.561,0.1972917
2674.985,0.1974479
2677.027,0.1976146
2679.96,0.1977812
2682.917,0.1979479
2685.173,0.1981146
2687.335,0.1982812
2689.807,0.1984479
2692.262,0.1986146
2694.655,0.1987813
2696.848,0.1989479
2699.375,0.1991146
2701.799,0.1992812
2704.016,0.1994479
2706.591,0.1996146
2708.586,0.1997813
2711.296,0.1999479
2713.307,0.2001042
2715.85,0.2002708
2718.25,0.2004375
2720.952,0.2006042
2723.201,0.2007708
2725.267,0.2009375
2727.421,0.2011042
2730.091,0.2012708
2732.937,0.2014375
2735.408,0.2016042
2737.824,0.2017812
2739.859,0.2019479
2742.33,0.2021146
2744.945,0.2022813
2747.393,0.2024479
2749.864,0.2026146
2752.312,0.2027812
2754.831,0.2029479
2756.993,0.2031146
2759.131,0.2032813
2761.547,0.2034479
2764.026,0.2036146
2766.776,0.2037812
2768.93,0.2039479
2771.179,0.2041146
2773.929,0.2042812
2776.798,0.2044479
2778.697,0.2046146
2780.946,0.2047812
2782.623,0.2049479
2785.396,0.2051146
2787.606,0.2052812
2790.403,0.2054479
2792.549,0.2056146
2795.665,0.2057813
2798.073,0.2059479
2800.338,0.2061146
2802.753,0.2062812
2805.384,0.2064479
2807.649,0.2066146
2810.121,0.2067917
2812.187,0.2069583
2814.817,0.207125
2817.639,0.2072917
2819.92,0.2074583
2821.978,0.207625
2824.235,0.2077917
2826.452,0.2079583
2829.266,0.208125
2831.594,0.2082917
2833.692,0.2084583
2835.838,0.208625
2838.683,0.2087917
2841.337,0.2089583
2843.793,0.209125
2846.146,0.2092917
2848.713,0.2094583
2851.145,0.209625
2853.083,0.2097917
2855.237,0.2099479
2857.931,0.2101146
2860.125,0.2102813
2862.326,0.2104479
2865.092,0.2106146
2867.691,0.2107812
2870.154,0.2109479
2872.252,0.2111146
2874.287,0.2112813
2876.941,0.2114479
2879.445,0.2116146
2881.877,0.2117812
2883.72,0.2119479
